zone_id,location_type,stop_url,stop_name,preferred,stop_desc,wheelchair_boarding,stop_lat,stop_id,stop_lon,parent_station,stop_timezone,stop_code
,0,,Gibb Westbound @ Grenfell,2,,1,43.887291,1277,-78.874471,,,1277
,0,,Westbound @ 450 Gibb,2,,1,43.88680200000001,1278,-78.87697,,,1278
,0,,Gibb Westbound @ Stevenson (West side stop),2,,1,43.88595200000001,1280,-78.880912,,,1280
,0,,Gibb Westbound @ Waverly,2,,1,43.885118,1281,-78.884574,,,1281
,0,,Gibb Westbound @ Vancouver,2,,1,43.884493,1282,-78.887244,,,1282
,0,,Gibb Eastbound @ Vancouver,2,,1,43.884355,1283,-78.88744699999998,,,1283
,0,,Gibb Eastbound @ Waverly,2,,1,43.885076,1284,-78.884308,,,1284
,0,,Gibb Eastbound @ Stevenson (West side stop),2,,1,43.885932,1285,-78.88051299999998,,,1285
,0,,Gibb Eastbound @ Stevenson (East side stop),2,,1,43.88625932,1286,-78.87870599999998,,,1286
,0,,Eastbound @ 431 Gibb,2,,1,43.886764,1287,-78.876312,,,1287
,0,,Gibb Eastbound @ Grenfell,2,,1,43.887267,1288,-78.874165,,,1288
,0,,Gibb Eastbound @ Montrave,2,,1,43.88775900000001,1289,-78.87204699999998,,,1289
,0,,Cochrane Southbound @ Twin Streams,2,,1,43.905578,129,-78.964539,,,129
,0,,Olive Eastbound @ Court,2,,1,43.889552,1297,-78.855367,,,1297
,0,,Olive Eastbound @ Drew,2,,1,43.890302,1298,-78.852093,,,1298
,0,,Olive Eastbound @ Oshawa Boulevard,2,,1,43.891187,1299,-78.848202,,,1299
,0,,Garden Northbound @ Bassett (North stop),2,,1,43.903334,13,-78.941556,,,13
,0,,Olive Eastbound @ Lasalle,2,,1,43.89248,1300,-78.842598,,,1300
,0,,Olive Eastbound @ Highland,2,,1,43.892801,1301,-78.841125,,,1301
,0,,Olive Eastbound @ Windsor,2,,1,43.893281,1302,-78.839043,,,1302
,0,,Olive Eastbound @ Guelph,2,,1,43.89384600000001,1303,-78.836642,,,1303
,0,,Olive Eastbound @ Poplar,2,,1,43.894358,1304,-78.834306,,,1304
,0,,Olive Eastbound @ Elmridge,1,,1,43.89498,1305,-78.831355,,,1305
,0,,Olive Eastbound @ Harcourt,1,,1,43.895449,1306,-78.829032,,,1306
,0,,Olive Eastbound @ Florell,2,,1,43.89581297,1307,-78.827236,,,1307
,0,,Olive Eastbound @ Dianne,2,,1,43.89644,1308,-78.824685,,,1308
,0,,Olive Eastbound @ Keewatin,2,,1,43.896856,1309,-78.821788,,,1309
,0,,Rosswell Northbound @ Bloor,2,,1,43.891145,1339,-78.798484,,,1339
,0,,Northbound @ 1185 Mary,2,,1,43.928625,1353,-78.873907,,,1353
,0,,Nonquon Northbound @ Mary,2,,1,43.931137,1354,-78.87249799999998,,,1354
,0,,Mary Northbound @ Nonquon,2,,1,43.93247800000001,1355,-78.87221,,,1355
,0,,Mary Northbound @ Taunton,2,,1,43.93385593,1356,-78.872776,,,1356
,0,,Park Southbound @ King,2,,1,43.895694,1359,-78.873767,,,1359
,0,,Park Southbound @ Pine,2,,1,43.893793,1360,-78.87290299999998,,,1360
,0,,Park Southbound @ Elmgrove,2,,1,43.891968,1361,-78.872083,,,1361
,0,,Park Southbound @ Marland,2,,1,43.88699031,1362,-78.869855,,,1362
,0,,Park Northbound @ John,2,,1,43.8922679,1363,-78.8719904,,,1363
,0,,Park Northbound @ King,2,,1,43.8946786,1364,-78.873147,,,1364
,0,,Beatrice Westbound @ Sycamore,2,,1,43.929548,1371,-78.869207,,,1371
,0,,Beatrice Westbound @ Mary,2,,1,43.926963,1372,-78.872625,,,1372
,0,,McQuay Southbound @ Roan,2,,1,43.881419,138,-78.966575,,,138
,0,,McQuay Southbound @ Kennett,2,,1,43.879842,139,-78.96569599999998,,,139
,0,,North Northbound @ Monroe,2,,1,43.921392,1392,-78.593264,,,1392
,0,,Main Southbound @ Millson Hill,2,,1,43.98281,1395,-78.62001,,,1395
,0,,Main Southbound @ Centreview,2,,1,43.977406,1396,-78.617544,,,1396
,0,,Garden Northbound @ Dryden,2,,1,43.904811,14,-78.942227,,,14
,0,,McQuay Southbound @ Moonstone,2,,1,43.878277,140,-78.963114,,,140
,0,,Mill Northbound @ King,2,,1,43.917763,1408,-78.588888,,,1408
,0,,McQuay Southbound @ Allayden,2,,1,43.876649,141,-78.962215,,,141
,0,,North Southbound @ Grady,2,,1,43.921133,1410,-78.593093,,,1410
,0,,King Westbound @ North,2,,1,43.916949,1411,-78.591266,,,1411
,0,,King Eastbound @ Baldwin,2,,1,43.91693200000001,1412,-78.590838,,,1412
